wbType,wbLevel,wbParentType,wbPath,wbHandleError,wbStatus,wbFinalExec,wbExceptionType,wbStart,wbParentStart,wbDurationSec,wbDurationHrs,message,level,wbKey,configError,optionalInfo
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/22/2018 13:40:44,03/22/2018 13:40:40,0.4927925,0.000137165861111111,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 13 at Source System.Activities",Error,7fec0b8606364bdd6f714855256a8207,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/22/2018 13:40:44,03/22/2018 13:40:40,0.3160001,8.80562777777778E-05,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 72 at Source System.Activities",Error,7fec0b8606364bdd6f714855256a8207,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/22/2018 13:40:45,03/22/2018 13:40:40,0.2785567,7.73768611111111E-05,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 71 at Source System.Activities",Error,22d86ed5f015cc1c715fc83dc5b32ad4,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/22/2018 13:40:45,03/22/2018 13:40:40,0.3079999,8.55555277777778E-05,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 14 at Source System.Activities",Error,22d86ed5f015cc1c715fc83dc5b32ad4,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Successful,True,,03/22/2018 13:40:45,03/22/2018 13:40:40,3.6285047,0.00100819694444444,"Work Block Input row UiDemo, simulate Ex successful",Info,22d86ed5f015cc1c715fc83dc5b32ad4,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,False,Exception,03/22/2018 13:40:49,03/22/2018 13:40:40,0.3023051,8.42517222222222E-05,"Work Block Input row UiDemo, simulate Ex failed with exception Simulated exception, in place of a real one! at Source System.Activities",Warn,13d4f7d33022e2270255b63600d18844,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Successful,True,,03/22/2018 13:40:57,03/22/2018 13:40:40,3.676944,0.00102165102777778,"Work Block Input row UiDemo, simulate Ex successful",Info,ff8a628eb391726c231812925e49bd8c,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/22/2018 13:41:01,03/22/2018 13:40:40,0.2896056,8.07238888888889E-05,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 2 at Source System.Activities",Error,1ab42f160c13e4aaecd112a212d08062,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Successful,True,,03/22/2018 13:41:01,03/22/2018 13:40:40,3.693558,0.00102682177777778,"Work Block Input row UiDemo, simulate Ex successful",Info,1ab42f160c13e4aaecd112a212d08062,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Successful,True,,03/22/2018 13:41:05,03/22/2018 13:40:40,3.6083884,0.00100233011111111,"Work Block Input row UiDemo, simulate Ex successful",Info,f0513ace74609385baab1d56c01ef021,False,No info
