wbType,wbLevel,wbParentType,wbPath,wbHandleError,wbStatus,wbFinalExec,wbExceptionType,wbStart,wbParentStart,wbDurationSec,wbDurationHrs,message,level,wbKey,configError,optionalInfo
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/14/2018 10:22:54,03/14/2018 10:22:50,0.5120047,0.000142361333333333,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 13 at Source System.Activities",Error,1c5d2ed941453b1902b5549bc15139e4,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/14/2018 10:22:54,03/14/2018 10:22:50,0.2550021,7.09724166666667E-05,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 72 at Source System.Activities",Error,1c5d2ed941453b1902b5549bc15139e4,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/14/2018 10:22:55,03/14/2018 10:22:50,0.2372525,6.60418611111111E-05,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 71 at Source System.Activities",Error,4f8079a4c82c52ed8385688bee9fe22a,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/14/2018 10:22:55,03/14/2018 10:22:50,0.2354989,6.55554444444444E-05,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 14 at Source System.Activities",Error,4f8079a4c82c52ed8385688bee9fe22a,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Successful,True,,03/14/2018 10:22:55,03/14/2018 10:22:50,3.5233899,0.000978856444444444,"Work Block Input row UiDemo, simulate Ex successful",Info,4f8079a4c82c52ed8385688bee9fe22a,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Successful,True,,03/14/2018 10:22:59,03/14/2018 10:22:50,3.4995728,0.00097224225,"Work Block Input row UiDemo, simulate Ex successful",Info,f5501351bb3f2e75f460e7abdba5a978,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/14/2018 10:23:02,03/14/2018 10:22:50,0.2320052,6.45838055555556E-05,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 2 at Source System.Activities",Error,2e3ac9ff741ac17e775272accfb39ed7,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Successful,True,,03/14/2018 10:23:03,03/14/2018 10:22:50,3.5911075,0.000997669027777778,"Work Block Input row UiDemo, simulate Ex successful",Info,68b7f9d2c72b9469b8617c1479fc69a0,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Successful,True,,03/14/2018 10:23:06,03/14/2018 10:22:50,3.5066202,0.000974199944444444,"Work Block Input row UiDemo, simulate Ex successful",Info,a9976d809723d43d25d4867bf3a218bf,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Successful,True,,03/14/2018 10:23:10,03/14/2018 10:22:50,3.5143866,0.000976496472222222,"Work Block Input row UiDemo, simulate Ex successful",Info,bdf88892adcad682e39ee7559319449a,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Successful,True,,03/14/2018 10:23:14,03/14/2018 10:22:50,3.526974,0.000979853388888889,"Work Block Input row UiDemo, simulate Ex successful",Info,fdbc588bcb94f5a5777331b97b40ebca,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Successful,True,,03/14/2018 10:23:17,03/14/2018 10:22:50,3.5458784,0.000985105611111111,"Work Block Input row UiDemo, simulate Ex successful",Info,3f912a15985e4b9394388356be84d997,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Successful,True,,03/14/2018 10:23:21,03/14/2018 10:22:50,3.5227136,0.000978669555555555,"Work Block Input row UiDemo, simulate Ex successful",Info,4000b2544fd3da8992068e153fd0c5c2,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/14/2018 10:23:24,03/14/2018 10:22:50,0.2269701,6.318625E-05,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 9 at Source System.Activities",Error,9cacc0526da3ca711ff3affa7e3060eb,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Successful,True,,03/14/2018 10:23:25,03/14/2018 10:22:50,3.5140153,0.000976254444444444,"Work Block Input row UiDemo, simulate Ex successful",Info,6ab78b1f79d721f234351686fe64d3e9,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/14/2018 10:23:28,03/14/2018 10:22:50,0.2330733,6.48801944444444E-05,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 12 at Source System.Activities",Error,30a2f36d8c5b0dddff778edda1c4367c,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/14/2018 10:23:29,03/14/2018 10:22:50,0.2451233,6.82295833333333E-05,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 37 at Source System.Activities",Error,ce0b4aad78bec64ffdc67a7efe6cc16c,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/14/2018 10:23:29,03/14/2018 10:22:50,0.2395014,6.66668611111111E-05,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 3 at Source System.Activities",Error,ce0b4aad78bec64ffdc67a7efe6cc16c,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/14/2018 10:23:29,03/14/2018 10:22:50,0.2584987,7.20835555555555E-05,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 26 at Source System.Activities",Error,ce0b4aad78bec64ffdc67a7efe6cc16c,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/14/2018 10:23:30,03/14/2018 10:22:50,0.2390007,6.66669722222222E-05,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 14 at Source System.Activities",Error,99dd8c85362c0ef76943e25c363826f0,False,No info
