wbType,wbLevel,wbParentType,wbPath,wbHandleError,wbStatus,wbFinalExec,wbExceptionType,wbStart,wbParentStart,wbDurationSec,wbDurationHrs,message,level,wbKey,configError,optionalInfo
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/19/2018 22:57:03,03/19/2018 22:57:00,0.5334866,0.000148329833333333,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 13 at Source System.Activities",Error,65f503b0d95e34f1e190e904547c449a,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/19/2018 22:57:04,03/19/2018 22:57:00,0.2380008,6.62504166666667E-05,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 72 at Source System.Activities",Error,f630983c08ef4f0c8a9f5e4b251cfdb8,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/19/2018 22:57:04,03/19/2018 22:57:00,0.2760033,7.69451944444444E-05,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 71 at Source System.Activities",Error,f630983c08ef4f0c8a9f5e4b251cfdb8,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/19/2018 22:57:05,03/19/2018 22:57:00,0.2715011,7.55559722222222E-05,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 14 at Source System.Activities",Error,a25188fbb4e8c4751a03c6d952293e24,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,False,SelectorNotFoundException,03/19/2018 22:57:05,03/19/2018 22:57:00,30.4657638,0.00846298975,"Work Block Input row UiDemo, simulate Ex failed with exception Cannot find the UI element corresponding to this selector: <wnd app='uidemo.exe' cls='HwndWrapper*' title='UIDemo' /><ctrl name='Deposit' role='radio button' /><ctrl name='Deposit' role='text' /> at Source UiPath.Core.Activities",Warn,a25188fbb4e8c4751a03c6d952293e24,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Successful,True,,03/19/2018 22:57:43,03/19/2018 22:57:00,3.5018661,0.000973018166666667,"Work Block Input row UiDemo, simulate Ex successful",Info,a792a94bf261555686f7dba8456771d9,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Successful,True,,03/19/2018 22:57:47,03/19/2018 22:57:00,3.4966685,0.000971575277777778,"Work Block Input row UiDemo, simulate Ex successful",Info,1c63d8b375d8f91a8bb25cde07ccae51,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/19/2018 22:57:50,03/19/2018 22:57:00,0.2400008,6.69452777777778E-05,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 2 at Source System.Activities",Error,9e74fac6a1217519670126f7548ec8eb,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Successful,True,,03/19/2018 22:57:51,03/19/2018 22:57:00,3.6492045,0.001013807,"Work Block Input row UiDemo, simulate Ex successful",Info,c05febd25c4b3bc13b91ceaa1bd7d7f5,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Successful,True,,03/19/2018 22:57:55,03/19/2018 22:57:00,3.553376,0.000987187777777778,"Work Block Input row UiDemo, simulate Ex successful",Info,e654b9723e59de4639b73a1d9183c771,False,No info
