wbType,wbLevel,wbParentType,wbPath,wbHandleError,wbStatus,wbFinalExec,wbExceptionType,wbStart,wbParentStart,wbDurationSec,wbDurationHrs,message,level,wbKey,configError,optionalInfo
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/13/2018 17:37:51,03/13/2018 17:37:48,0.4910025,0.000136666972222222,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 13 at Source System.Activities",Error,8729bd63c1035fbad09f0f7e3a2e0373,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/13/2018 17:37:52,03/13/2018 17:37:48,0.2128359,5.94030833333333E-05,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 72 at Source System.Activities",Error,df6d04e2133cece29f8d413dc02e1115,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/13/2018 17:37:52,03/13/2018 17:37:48,0.2386661,6.65746111111111E-05,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 71 at Source System.Activities",Error,df6d04e2133cece29f8d413dc02e1115,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/13/2018 17:37:53,03/13/2018 17:37:48,0.2230033,6.22309722222222E-05,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 14 at Source System.Activities",Error,28234b5cb895820834f18548b5fe295b,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Successful,True,,03/13/2018 17:37:53,03/13/2018 17:37:48,3.6542104,0.00101505844444444,"Work Block Input row UiDemo, simulate Ex successful",Info,28234b5cb895820834f18548b5fe295b,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,False,Exception,03/13/2018 17:37:57,03/13/2018 17:37:48,0.2249712,6.27703888888889E-05,"Work Block Input row UiDemo, simulate Ex failed with exception Simulated exception, in place of a real one! at Source System.Activities",Warn,ecabf57e25738edfbb8644d02a4988bf,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Successful,True,,03/13/2018 17:38:05,03/13/2018 17:37:48,3.6154236,0.00100428433333333,"Work Block Input row UiDemo, simulate Ex successful",Info,bb758d673fcb7b4171c2eae1a6884e1e,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/13/2018 17:38:08,03/13/2018 17:37:48,0.2190014,6.08337222222222E-05,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 2 at Source System.Activities",Error,11ff489c735ec6bd5bff28e216c92e70,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Successful,True,,03/13/2018 17:38:09,03/13/2018 17:37:48,3.7183002,0.00103286116666667,"Work Block Input row UiDemo, simulate Ex successful",Info,a880e491354320559e0545005b743ef9,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Successful,True,,03/13/2018 17:38:13,03/13/2018 17:37:48,3.6567612,0.00101604419444444,"Work Block Input row UiDemo, simulate Ex successful",Info,3e14407c5f691b2e44c7faf0ff9a7b79,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Successful,True,,03/13/2018 17:38:16,03/13/2018 17:37:48,3.688327,0.00102481277777778,"Work Block Input row UiDemo, simulate Ex successful",Info,81e22f1f142c2af2913fa49c572986b1,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Successful,True,,03/13/2018 17:38:20,03/13/2018 17:37:48,3.6518433,0.00101467086111111,"Work Block Input row UiDemo, simulate Ex successful",Info,37ec328b50b158545dc957656c09e91c,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,False,Exception,03/13/2018 17:38:24,03/13/2018 17:37:48,0.223999,6.22219444444444E-05,"Work Block Input row UiDemo, simulate Ex failed with exception Simulated exception, in place of a real one! at Source System.Activities",Warn,3f154c642ef618ce254a254cf2eace2d,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Successful,True,,03/13/2018 17:38:32,03/13/2018 17:37:48,3.7172134,0.00103255927777778,"Work Block Input row UiDemo, simulate Ex successful",Info,9b4e1f0f3eb38a02a6d47ec82920f11d,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,False,Exception,03/13/2018 17:38:35,03/13/2018 17:37:48,0.2241947,6.22763055555555E-05,"Work Block Input row UiDemo, simulate Ex failed with exception Simulated exception, in place of a real one! at Source System.Activities",Warn,14b99e0ad155a0bb8385a499a17544e9,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Successful,True,,03/13/2018 17:38:43,03/13/2018 17:37:48,3.6937412,0.00102631669444444,"Work Block Input row UiDemo, simulate Ex successful",Info,aad1e859546ff2f9136972a69bd83c53,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/13/2018 17:38:47,03/13/2018 17:37:48,0.2019721,5.63820277777778E-05,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 9 at Source System.Activities",Error,faa7e503760aabd40b8b8796ce8cd235,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Successful,True,,03/13/2018 17:38:47,03/13/2018 17:37:48,3.6584058,0.00101622383333333,"Work Block Input row UiDemo, simulate Ex successful",Info,faa7e503760aabd40b8b8796ce8cd235,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/13/2018 17:38:51,03/13/2018 17:37:48,0.2020004,5.61112222222222E-05,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 12 at Source System.Activities",Error,7ce3504c9ed29e65b592527415dbfa62,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/13/2018 17:38:51,03/13/2018 17:37:48,0.2017348,5.63078611111111E-05,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 37 at Source System.Activities",Error,7ce3504c9ed29e65b592527415dbfa62,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/13/2018 17:38:52,03/13/2018 17:37:48,0.2119959,5.91665277777778E-05,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 3 at Source System.Activities",Error,ec2c05bf0fdf0cd72ca393af95bd9fec,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/13/2018 17:38:52,03/13/2018 17:37:48,0.2185268,6.098025E-05,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 26 at Source System.Activities",Error,ec2c05bf0fdf0cd72ca393af95bd9fec,False,No info
"Input row UiDemo, simulate Ex",1,UiPEngineLocal,"UiPEngineLocal|Input row UiDemo, simulate Ex",Failed,Failed,True,BusinessRuleException,03/13/2018 17:38:52,03/13/2018 17:37:48,0.2203921,6.12200277777778E-05,"Work Block Input row UiDemo, simulate Ex failed with exception The value of Cash In was 14 at Source System.Activities",Error,ec2c05bf0fdf0cd72ca393af95bd9fec,False,No info
UiPEngineLocal,0,,UiPEngineLocal,Rethrow,Finished with Exceptions,True,,03/13/2018 17:37:48,03/13/2018 17:37:48,70.1089722,0.0194747145,Work Block UiPEngineLocal successful,Info,fe481149bc79d303506fd28c2a979178,False,No info
